SKU;Quantidade;Preco;Marca;Descricao
"10100CBGET39";1;557.98;"Acero";"Bota Advanced Desert Acero Couro Militar Coturno Tático Pro"
"10100CBGET40";0;557.98;"Acero";"Bota Advanced Desert Acero Couro Militar Coturno Tático Pro"
"10100CBGET41";0;557.98;"Acero";"Bota Advanced Desert Acero Couro Militar Coturno Tático Pro"
"10100CBGET42";0;557.98;"Acero";"Bota Advanced Desert Acero Couro Militar Coturno Tático Pro"
"10100CBGET43";0;557.98;"Acero";"Bota Advanced Desert Acero Couro Militar Coturno Tático Pro"
"10100CBGET44";0;557.98;"Acero";"Bota Advanced Desert Acero Couro Militar Coturno Tático Pro"
"1267823CPTBRT38";0;395.84;"New Balance";"Tênis New Balance 413v3 Masculino Original Confortável Tenis"
"1267823CPTBRT39";0;395.84;"New Balance";"Tênis New Balance 413v3 Masculino Original Confortável Tenis"
"1267823CPTBRT40";0;395.84;"New Balance";"Tênis New Balance 413v3 Masculino Original Confortável Tenis"
"1267823CPTBRT41";0;395.84;"New Balance";"Tênis New Balance 413v3 Masculino Original Confortável Tenis"
"1267823CPTBRT42";0;395.84;"New Balance";"Tênis New Balance 413v3 Masculino Original Confortável Tenis"
"1267823CPTBRT43";0;395.84;"New Balance";"Tênis New Balance 413v3 Masculino Original Confortável Tenis"
"128607BRCMRBRT34";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCMRBRT35";1;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCMRBRT36";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCMRBRT37";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCMRBRT38";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCMRBRT39";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCMRBRT40";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCRSBRT34";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCRSBRT35";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCRSBRT36";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCRSBRT37";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCRSBRT38";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128607BRCRSBRT39";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Mile Feminino Corrida"
"128608BRCBRPTRXT34";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Distinic Feminino"
"128608BRCBRPTRXT35";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Distinic Feminino"
"128608BRCBRPTRXT36";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Distinic Feminino"
"128608BRCBRPTRXT37";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Distinic Feminino"
"128608BRCBRPTRXT38";0;499.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Distinic Feminino"
"220865BRCBRCZPTT38";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRCZPTT39";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRCZPTT40";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRCZPTT41";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRCZPTT42";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRCZPTT43";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRCZPTT44";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"220865BRCBRPTT45";0;624.99;"Skechers";"Tênis Skechers Go Run Consistent 2.0 Masculino Leve Corrida"
"260059000CBRAZMLT23";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT24";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT25";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT26";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT27";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT28";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT29";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CBRAZMLT30";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT23";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT24";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT25";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT26";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT27";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT28";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT29";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CMRT30";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CPTAMRT23";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
"260059000CPTAMRT24";0;69.99;"Klin";"Tênis Freestyle Mini 260 Klin Infantil Casual Confortável"
