"Name","Id","WorkingSet64"
"AdobeCollabSync","10132","516096"
"AdobeCollabSync","16020","6840320"
"AggregatorHost","8432","2424832"
"Antigravity","8044","5128192"
"Antigravity","9008","995328"
"Antigravity","9252","154570752"
"Antigravity","10144","4190208"
"Antigravity","12140","0"
"Antigravity","16676","44961792"
"Antigravity","17708","4628480"
"Antigravity","18588","8974336"
"Antigravity","20852","50192384"
"Antigravity","21432","651264"
"Antigravity","21952","5492736"
"Antigravity","22500","0"
"Antigravity","25044","630784"
"Antigravity","26628","0"
"Antigravity","26640","12238848"
"Antigravity","28932","3792896"
"AnyDesk","5216","442368"
"ApplicationFrameHost","14856","0"
"armsvc","5208","0"
"AutoModeDetect","12900","1146880"
"backgroundTaskHost","22812","73728"
"bdredline","5288","708608"
"CalculatorApp","11868","0"
"chrome","6316","15372288"
"chrome","6780","19099648"
"chrome","6936","8892416"
"chrome","16612","7290880"
"chrome","18216","1421312"
"chrome","19972","1159168"
"chrome","20120","1388544"
"chrome","20804","8192"
"chrome","22064","1114112"
"chrome","22324","2576384"
"chrome","27820","31498240"
"chrome","28208","2424832"
"chrome","29092","16211968"
"chrome","29484","63188992"
"chrome","29932","114991104"
"conhost","4432","77824"
"conhost","7652","524288"
"conhost","12940","57344"
"conhost","20624","4317184"
"conhost","21000","0"
"conhost","23448","626688"
"conhost","28052","40960"
"Cortana","19320","4096"
"crashpad_handler","3572","69632"
"csrss","1232","348160"
"csrss","1352","1056768"
"ctfmon","9456","6303744"
"dasHost","4048","1716224"
"dasHost","4872","0"
"DAX3API","5228","0"
"DAX3API","9148","0"
"dllhost","3840","491520"
"dllhost","9624","421888"
"dllhost","22388","110592"
"downloader","29408","13975552"
"dwm","1920","30261248"
"ElevocControlService","5420","0"
"EPHost","6884","1097728"
"EPHost.Integrity","12596","3842048"
"EPIntegrationService","5372","11407360"
"EPProtectedService","5244","6270976"
"EPSecurityConsole","16696","1257472"
"EPSecurityService","5236","112824320"
"EPSecurityService","12316","1327104"
"EPUpdateService","5260","5902336"
"explorer","9384","42446848"
"fdhost","7060","282624"
"fdlauncher","20768","0"
"FileCoAuth","18952","1683456"
"FnHotkeyCapsLKNumLK","10052","0"
"FnHotkeyUtility","10072","1343488"
"fontdrvhost","1612","0"
"fontdrvhost","1716","0"
"getscreen","1428","2801664"
"getscreen","5252","4915200"
"glpi-agent","5268","3629056"
"HelpPane","28688","0"
"Idle","0","8192"
"IntelAudioService","5304","1216512"
"IntelCpHDCPSvc","2116","0"
"ipf_helper","8564","761856"
"ipf_uf","5568","589824"
"jhi_service","6032","0"
"jusched","14832","0"
"language_server_windows_x64","10832","106819584"
"LenovoUtilityService","5412","94208"
"Lightshot","12708","323584"
"LNBITSSvc","5324","15704064"
"LockApp","12688","0"
"lsass","1416","7110656"
"M365Copilot","24600","8134656"
"Memory Compression","3004","11657216"
"MicrosoftEdgeUpdate","23620","28672"
"MoUsoCoreWorker","29708","0"
"mscopilot","11740","4202496"
"mscopilot","16596","28672"
"mscopilot","17060","4698112"
"mscopilot","17068","2772992"
"mscopilot","17144","1085440"
"msedge","17648","4444160"
"msedge","19336","421888"
"msedge","24812","380928"
"msedge","27052","1699840"
"msedge","27484","39120896"
"msedge","29688","31920128"
"msedge","30128","10117120"
"msedgewebview2","592","0"
"msedgewebview2","1888","5095424"
"msedgewebview2","3716","0"
"msedgewebview2","9512","3411968"
"msedgewebview2","10272","0"
"msedgewebview2","23948","24576"
"msedgewebview2","24996","0"
"MusNotifyIcon","10928","0"
"mysqld","8068","483328"
"OfficeClickToRun","5992","2265088"
"OneApp.IGCC.WinService","5332","3842048"
"OneDrive","14624","7045120"
"OneDrive.Sync.Service","27472","16384"
"pg_ctl","5404","0"
"PhoneExperienceHost","21176","4849664"
"phraseexpress","13036","6533120"
"postgres","6836","0"
"postgres","6864","0"
"postgres","7544","0"
"postgres","7624","94208"
"postgres","7796","32768"
"postgres","7980","20480"
"postgres","8200","233472"
"postgres","10740","176128"
"postgres","10748","753664"
"postgres","10756","270336"
"powershell","1984","64606208"
"powershell","12656","2334720"
"powershell","26084","19533824"
"prevhost","28004","0"
"ProtonVPN.Client","7548","35753984"
"ProtonVPNService","15496","11632640"
"Registry","148","44359680"
"RtkAudUService64","5344","0"
"RtkAudUService64","14416","0"
"rundll32","3352","0"
"RuntimeBroker","2596","311296"
"RuntimeBroker","2648","3223552"
"RuntimeBroker","2868","2408448"
"RuntimeBroker","3904","868352"
"RuntimeBroker","7988","176128"
"RuntimeBroker","13672","2174976"
"RuntimeBroker","13896","819200"
"RuntimeBroker","20380","94208"
"SDXHelper","11592","4096"
"SearchApp","7460","0"
"SearchIndexer","6724","7839744"
"SecurityHealthService","240","28672"
"SecurityHealthSystray","8084","49152"
"services","1404","2985984"
"ShellExperienceHost","13556","0"
"sihost","7480","5857280"
"Skype","13240","4845568"
"Skype","14996","9302016"
"Skype","15272","4096"
"Skype","16012","1548288"
"Skype","17400","2510848"
"smss","920","0"
"spoolsv","4612","598016"
"SpotifyLauncher","15612","7081984"
"sqlceip","18836","8663040"
"sqlservr","4552","25763840"
"sqlwriter","5384","0"
"StartMenuExperienceHost","11176","1712128"
"svchost","1400","565248"
"svchost","1444","0"
"svchost","1480","405504"
"svchost","1540","3887104"
"svchost","1752","13856768"
"svchost","1800","2002944"
"svchost","1840","1200128"
"svchost","1848","1044480"
"svchost","1896","0"
"svchost","2124","4022272"
"svchost","2132","0"
"svchost","2192","299008"
"svchost","2500","69632"
"svchost","2508","20480"
"svchost","2516","970752"
"svchost","2524","315392"
"svchost","2536","2199552"
"svchost","2544","2834432"
"svchost","2552","1032192"
"svchost","2560","237568"
"svchost","2688","0"
"svchost","2716","1634304"
"svchost","2724","708608"
"svchost","2732","73728"
"svchost","2760","1081344"
"svchost","2776","868352"
"svchost","2824","3117056"
"svchost","3128","1122304"
"svchost","3136","548864"
"svchost","3224","1474560"
"svchost","3280","0"
"svchost","3288","0"
"svchost","3388","81920"
"svchost","3448","2469888"
"svchost","3520","593920"
"svchost","3656","0"
"svchost","3660","708608"
"svchost","3752","0"
"svchost","3760","237568"
"svchost","3876","0"
"svchost","4112","167936"
"svchost","4204","8204288"
"svchost","4232","700416"
"svchost","4300","3006464"
"svchost","4364","16384"
"svchost","4656","499712"
"svchost","4752","417792"
"svchost","4904","20381696"
"svchost","5116","57344"
"svchost","5168","10907648"
"svchost","5200","7159808"
"svchost","5276","655360"
"svchost","5352","2195456"
"svchost","5364","57344"
"svchost","5392","0"
"svchost","5440","3338240"
"svchost","5472","712704"
"svchost","5868","446464"
"svchost","6516","196608"
